,CWSID,RegulatingAgency,WaterSystemName,Score_DroughtWatchStatus,WaterOutageDroughtViolation,BottledHauledWaterOrZeroSource,CurtailmentExemptionPetition,Score_1704,FundedProject,DroughtExperienced,ServiceConnections,Population,Score_SourceNumber,Score_SCV,Score_SCM,Score_CriticallyOverdraftedGroundwaterBasin,CDAG_rank,Curtailment,Score_1702,Score_1705,Score_1706,Score_1812,Score_1813,Score_1814,Score_1815,EAR2020DroughtRiskScore,SAFER_AccessibilityScore,PWPhysicalAddressLat,PWPhysicalAddressLong,CentralValleyCounties,NonCentralValleyCounties,ActiveGWSource,ActiveSWSource,CurtailedWatershed,HUC4,HUC8_CentralValley,HUC8_Coast,HUC8_Other,Basin_Number_part1,FracturedRock,Basin12,Basin34,Basin5,Basin6,Basin789,Intertie,DSCI2WYAvg,TNCFlow2WYAvg,ind,NotExpected,Expected,pred2,NotExpected,Expected,pred2,NotExpected,Expected,pred2,NotExpected,Expected,pred2,NotExpected,Expected,pred2
1508,CA3400122,LPA64 - SACRAMENTO COUNTY,EL DORADO WEST MHP,0,0,0,0,0,0,0,128,172,1,0,0,0,913,0,0,0,0,0,1,1,0,2,1.333333333,38.4891941,-121.4305962,SACRAMENTO,No,1,0,SacramentoRiver,1802,18020163,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,0,279.5714286,7043.511667,2,0.628,0.372,NotExpected,0.689,0.311,NotExpected,0.674,0.326,NotExpected,0.677,0.323,NotExpected,0.658,0.342,NotExpected
1509,CA3400125,LPA64 - SACRAMENTO COUNTY,FREEPORT MARINA,0,0,0,0,0,0,0,27,42,0,0,0,0,1576,0,0,0,0,0,0,0,0,0,0.333333333,38.4581856,-121.5011713,SACRAMENTO,No,3,0,SacramentoRiver,1802,18020163,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,0,279.5714286,7043.511667,1,0.798,0.202,NotExpected,0.84,0.16,NotExpected,0.838,0.162,NotExpected,0.852,0.148,NotExpected,0.852,0.148,NotExpected
1510,CA3400128,LPA64 - SACRAMENTO COUNTY,HAPPY HARBOR (SWS),0,0,0,0,0,0,0,45,60,1,0,0,0,240,0,0,0,0,0,0,0,0,0,1.5,38.1050809,-121.5929071,SACRAMENTO,No,1,0,SacramentoRiver,1802,18020163,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,0,279.5714286,7043.511667,1,0.821,0.179,NotExpected,0.841,0.159,NotExpected,0.837,0.163,NotExpected,0.839,0.161,NotExpected,0.837,0.163,NotExpected
1511,CA3400130,LPA64 - SACRAMENTO COUNTY,MAGNOLIA MUTUAL WATER,0,0,0,0,0,0,0,34,40,1,0,0,0,842,0,0,0,0,0,0,0,0,0,1.333333333,38.3298665,-121.5709155,SACRAMENTO,No,1,0,SacramentoRiver,1802,18020163,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,0,279.5714286,7043.511667,1,0.804,0.196,NotExpected,0.845,0.155,NotExpected,0.85,0.15,NotExpected,0.849,0.151,NotExpected,0.836,0.164,NotExpected
1512,CA3400135,LPA64 - SACRAMENTO COUNTY,KORTHS PIRATES LAIR,0,0,0,0,0,0,0,64,150,1,0,0,0,1449,0,0,0,0,0,0,0,0,0,1.333333333,38.0980061,-121.5685077,SACRAMENTO,No,1,0,SanJoaquinRiver,1802,18020163,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,0,279.5714286,7043.511667,1,0.7,0.3,NotExpected,0.739,0.261,NotExpected,0.736,0.264,NotExpected,0.745,0.255,NotExpected,0.74,0.26,NotExpected
1513,CA3400137,LPA64 - SACRAMENTO COUNTY,LINCOLN CHAN-HOME RANCH,0,0,0,0,0,0,0,19,33,0.5,0,0,0,1414,0,0,0,0,1,0,2,2,5,0.333333333,38.3329019,-121.5685521,SACRAMENTO,No,2,0,SacramentoRiver,1802,18020163,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,0,279.5714286,7043.511667,2,0.799,0.201,NotExpected,0.856,0.144,NotExpected,0.857,0.143,NotExpected,0.855,0.145,NotExpected,0.87,0.13,NotExpected
1514,CA3400138,LPA64 - SACRAMENTO COUNTY,LOCKE WATER WORKS CO [SWS],0,0,1,0,0,0,1,44,80,1,0,0,0,1443,0,0,0,0,0,0,0,0,0,2.333333333,38.2421371,-121.5116197,SACRAMENTO,No,1,0,SanJoaquinRiver,1804,18040012,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,0,279.5714286,6935.890773,1,0,1,Expected,0,1,Expected,0,1,Expected,0,1,Expected,0,1,Expected
1515,CA3400149,LPA64 - SACRAMENTO COUNTY,RANCHO MARINA,0,0,0,0,0,0,0,77,250,1,0,0,0,1560,0,0,0,0,0,0,0,0,0,1.333333333,38.1063612,-121.5769795,SACRAMENTO,No,1,0,SacramentoRiver,1802,18020163,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,0,279.5714286,7043.511667,2,0.66,0.34,NotExpected,0.703,0.297,NotExpected,0.683,0.317,NotExpected,0.681,0.319,NotExpected,0.679,0.321,NotExpected
1516,CA3400150,LPA64 - SACRAMENTO COUNTY,DELTA CROSSING MHP,0,0,0,0,0,0,0,22,30,1,0,0,0,1018,0,0,0,0,0,0,0,0,0,1.333333333,38.3701741,-121.5196374,SACRAMENTO,No,1,0,SanJoaquinRiver,1804,18040012,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,0,279.5714286,6935.890773,1,0.564,0.436,NotExpected,0.614,0.386,NotExpected,0.589,0.411,NotExpected,0.591,0.409,NotExpected,0.544,0.456,NotExpected
1517,CA3400155,LPA64 - SACRAMENTO COUNTY,SEQUOIA WATER ASSOC,0,0,0,0,0,0,0,18,54,1,0,0,0,1241,0,0,0,0,0,0,0,0,0,1.333333333,38.3310443,-121.5673483,SACRAMENTO,No,1,0,SacramentoRiver,1802,18020163,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,0,279.5714286,7043.511667,1,0.797,0.203,NotExpected,0.851,0.149,NotExpected,0.836,0.164,NotExpected,0.847,0.153,NotExpected,0.855,0.145,NotExpected
1518,CA3400156,LPA64 - SACRAMENTO COUNTY,SOUTHWEST TRACT W M D [SWS],0,0,0,0,0,0,0,33,150,0,0,0,0,-1,0,0,2,2,1,1,2,2,10,1,38.517011,-121.4513314,SACRAMENTO,No,0,0,SacramentoRiver,1802,18020163,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,1,279.5714286,7043.511667,1,0.723,0.277,NotExpected,0.779,0.221,NotExpected,0.817,0.183,NotExpected,0.837,0.163,NotExpected,0.814,0.186,NotExpected
1519,CA3400164,LPA64 - SACRAMENTO COUNTY,"VIEIRA'S RESORT, INC",0,0,0,0,0,0,0,107,150,0,0,0,1,1406,0,0,0,0,0,0,0,0,0,1,38.1716844,-121.6420133,SACRAMENTO,No,3,0,SacSJ,1802,18020163,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-0215-022,0-000,0-000,0,279.5714286,7043.511667,1,0.732,0.268,NotExpected,0.767,0.233,NotExpected,0.778,0.222,NotExpected,0.802,0.198,NotExpected,0.78,0.22,NotExpected
1520,CA3400169,LPA64 - SACRAMENTO COUNTY,SPINDRIFT MARINA,0,0,0,0,0,0,0,50,100,1,0,0,0,602,0,0,0,0,0,2,0,0,2,1.333333333,38.1078929,-121.5979335,SACRAMENTO,No,1,0,SacramentoRiver,1802,18020163,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,0,279.5714286,7043.511667,1,0.769,0.231,NotExpected,0.801,0.199,NotExpected,0.815,0.185,NotExpected,0.817,0.183,NotExpected,0.812,0.188,NotExpected
1521,CA3400172,LPA64 - SACRAMENTO COUNTY,TOKAY PARK WATER CO,0,0,0,0,0,0,0,198,525,1,0,0,0,68,0,0,0,0,0,0,0,0,0,2,38.4929881,-121.3884671,SACRAMENTO,No,1,0,SanJoaquinRiver,1802,18020163,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,0,279.5714286,7043.511667,1,0.574,0.426,NotExpected,0.609,0.391,NotExpected,0.582,0.418,NotExpected,0.567,0.433,NotExpected,0.573,0.427,NotExpected
1522,CA3400179,LPA64 - SACRAMENTO COUNTY,MC CLELLAN MHP,0,0,0,0,0,0,0,199,700,0.5,0,0,0,1823,0,0,0,0,0,0,0,0,0,0.333333333,38.6593287,-121.3809751,SACRAMENTO,No,2,0,SacramentoRiver,1802,18020111,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,0,279.5714286,1330.102015,2,0.832,0.168,NotExpected,0.858,0.142,NotExpected,0.898,0.102,NotExpected,0.892,0.108,NotExpected,0.906,0.094,NotExpected
1523,CA3400181,LPA64 - SACRAMENTO COUNTY,LAGUNA DEL SOL INC,0,0,0,0,0,0,0,112,470,0.5,0,0,0,1498,0,0,0,0,0,0,0,0,0,0.333333333,38.44819,-121.2016166,SACRAMENTO,No,2,0,SanJoaquinRiver,1804,18040013,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-022,0-000,0-000,0,279.5714286,411.5669724,2,0.702,0.298,NotExpected,0.71,0.29,NotExpected,0.726,0.274,NotExpected,0.709,0.291,NotExpected,0.692,0.308,NotExpected
1524,CA3400190,LPA64 - SACRAMENTO COUNTY,IMPERIAL MANOR MOBILEHOME COMMUNITY,0,0,0,0,0,0,0,186,200,1,0,0,0,681,0,0,0,0,0,0,0,0,0,1.333333333,38.6768681,-121.3252504,SACRAMENTO,No,1,0,SacramentoRiver,1802,18020111,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,0,279.5714286,1330.102015,1,0.818,0.182,NotExpected,0.831,0.169,NotExpected,0.864,0.136,NotExpected,0.882,0.118,NotExpected,0.893,0.107,NotExpected
1525,CA3400191,LPA64 - SACRAMENTO COUNTY,ELEVEN OAKS MOBILE HOME COMMUNITY,0,0,0,0,0,0,0,136,262,0,0,0,0,1660,0,0,0,0,0,0,0,0,0,0.333333333,38.6566567,-121.3795348,SACRAMENTO,No,3,0,SacramentoRiver,1802,18020111,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,0,279.5714286,1330.102015,1,0.84,0.16,NotExpected,0.857,0.143,NotExpected,0.895,0.105,NotExpected,0.894,0.106,NotExpected,0.908,0.092,NotExpected
1526,CA3400192,LPA64 - SACRAMENTO COUNTY,TUNNEL TRAILER PARK,0,0,0,0,0,0,0,21,44,1,0,0,0,567,0,0,0,0,0,1,1,0,2,1.5,38.2235543,-121.5578278,SACRAMENTO,No,1,0,SacramentoRiver,1802,18020163,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,0,279.5714286,7043.511667,1,0.802,0.198,NotExpected,0.852,0.148,NotExpected,0.848,0.152,NotExpected,0.852,0.148,NotExpected,0.847,0.153,NotExpected
1527,CA3400217,LPA64 - SACRAMENTO COUNTY,HOMETOWN COLONIAL ESTATES LLC,0,0,0,0,0,0,0,146,438,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0.333333333,38.5758941,-121.3191341,SACRAMENTO,No,3,0,SacramentoRiver,1802,18020111,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,0,279.5714286,1330.102015,2,0.857,0.143,NotExpected,0.854,0.146,NotExpected,0.907,0.093,NotExpected,0.892,0.108,NotExpected,0.911,0.089,NotExpected
1528,CA3400229,LPA64 - SACRAMENTO COUNTY,RIO COSUMNES CORRECTIONAL CENTER [SWS],0,0,0,0,0,0,0,13,2800,0,0,0,1,1631,0,0,2,2,1,1,2,2,10,0.333333333,38.3054677,-121.4218932,SACRAMENTO,No,4,0,SanJoaquinRiver,1804,18040012,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-0225-021,0-000,0-000,0,279.5714286,6935.890773,1,0.784,0.216,NotExpected,0.814,0.186,NotExpected,0.836,0.164,NotExpected,0.837,0.163,NotExpected,0.829,0.171,NotExpected
1529,CA3400296,LPA64 - SACRAMENTO COUNTY,SAC CITY MOBILE HOME COMMUNITY LP,0,0,0,0,0,0,0,164,350,0.5,0,0,0,1432,0,0,0,0,0,1,0,0,1,0.333333333,38.5127803,-121.4350047,SACRAMENTO,No,2,0,SacramentoRiver,1802,18020163,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,0,279.5714286,7043.511667,1,0.61,0.39,NotExpected,0.644,0.356,NotExpected,0.65,0.35,NotExpected,0.658,0.342,NotExpected,0.644,0.356,NotExpected
1530,CA3400331,LPA64 - SACRAMENTO COUNTY,WESTERNER MOBILE HOME PARK,0,0,0,0,0,0,0,49,65,1,0,0,0,638,0,0,0,0,0,1,0,0,1,1.333333333,38.449534,-121.4087187,SACRAMENTO,No,1,0,SacramentoRiver,1802,18020163,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,0,279.5714286,7043.511667,2,0.787,0.213,NotExpected,0.832,0.168,NotExpected,0.842,0.158,NotExpected,0.833,0.167,NotExpected,0.84,0.16,NotExpected
1531,CA3400335,LPA64 - SACRAMENTO COUNTY,HOLIDAY MOBILE VILLAGE,0,0,0,0,0,0,0,115,200,0.5,0,0,0,1242,0,0,0,0,0,0,0,0,0,0.333333333,38.4801184,-121.4246096,SACRAMENTO,No,2,0,SacramentoRiver,1802,18020163,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,0,279.5714286,7043.511667,1,0.664,0.336,NotExpected,0.71,0.29,NotExpected,0.717,0.283,NotExpected,0.725,0.275,NotExpected,0.694,0.306,NotExpected
1532,CA3400397,LPA64 - SACRAMENTO COUNTY,LAGUNA VILLAGE RV PARK,0,0,0,0,0,0,0,28,32,1,0,0,0,539,0,0,0,0,0,1,1,0,2,1.5,38.440947,-121.404288,SACRAMENTO,No,1,0,SacramentoRiver,1802,18020163,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,0,279.5714286,7043.511667,1,0.8,0.2,NotExpected,0.851,0.149,NotExpected,0.853,0.147,NotExpected,0.856,0.144,NotExpected,0.844,0.156,NotExpected
1533,CA3400401,LPA64 - SACRAMENTO COUNTY,PLANTATION MOBILE HOME PARK,0,0,0,0,0,0,0,44,44,1,0,0,0,196,0,0,0,0,0,1,0,0,1,2,38.4875794,-121.4255514,SACRAMENTO,No,1,0,SacramentoRiver,1802,18020163,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,0,279.5714286,7043.511667,1,0.764,0.236,NotExpected,0.802,0.198,NotExpected,0.786,0.214,NotExpected,0.799,0.201,NotExpected,0.795,0.205,NotExpected
1534,CA3400433,LPA64 - SACRAMENTO COUNTY,EDGEWATER MOBILE HOME PARK,0,0,0,0,0,0,0,22,40,0.5,0,0,1,722,0,0,0,0,0,0,0,0,0,1,38.1494225,-121.7423434,SACRAMENTO,No,2,0,SacSJ,1802,18020163,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-0215-022,0-000,0-000,0,279.5714286,7043.511667,1,0.795,0.205,NotExpected,0.85,0.15,NotExpected,0.838,0.162,NotExpected,0.855,0.145,NotExpected,0.839,0.161,NotExpected
1535,CA3410001,DISTRICT 09 - SACRAMENTO,SACRAMENTO SUBURBAN WATER DISTRICT,0,0,0,0,0,0,0,46573,184385,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,38.6162565,-121.4036736,SACRAMENTO,No,72,0,SacramentoRiver,1802,18020111,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,1,279.5714286,1330.102015,1,0.926,0.074,NotExpected,0.938,0.062,NotExpected,0.956,0.044,NotExpected,0.962,0.038,NotExpected,0.967,0.033,NotExpected
1536,CA3410002,DISTRICT 09 - SACRAMENTO,SCWA - ARDEN PARK VISTA,0,0,0,0,0,0,0,3043,10035,0,0,0,0,-1,0,0,2,2,1,1,2,2,10,0,38.5516381,-121.3365159,SACRAMENTO,No,10,0,SacramentoRiver,1802,18020163,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,1,279.5714286,7043.511667,1,0.732,0.268,NotExpected,0.722,0.278,NotExpected,0.77,0.23,NotExpected,0.758,0.242,NotExpected,0.74,0.26,NotExpected
1537,CA3410003,DISTRICT 09 - SACRAMENTO,GOLDEN STATE WATER CO - ARDEN WATER SERV,0,0,0,0,0,0,0,1716,5125,0,0,0,0,2089,0,0,0,0,0,0,0,0,0,0.333333333,38.5924922,-121.2743646,SACRAMENTO,No,6,0,SacramentoRiver,1802,18020111,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,0,279.5714286,1330.102015,2,0.839,0.161,NotExpected,0.861,0.139,NotExpected,0.902,0.098,NotExpected,0.893,0.107,NotExpected,0.908,0.092,NotExpected
1538,CA3410004,DISTRICT 09 - SACRAMENTO,CARMICHAEL WATER DISTRICT,0,0,0,0,0,0,0,11704,37897,0,0,0,0,-1,0,0,2,2,0,1,2,0,7,0,38.6372251,-121.3190447,SACRAMENTO,No,5,1,SacramentoRiver,1802,18020111,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,0,279.5714286,1330.102015,1,0.733,0.267,NotExpected,0.81,0.19,NotExpected,0.787,0.213,NotExpected,0.858,0.142,NotExpected,0.863,0.137,NotExpected
1539,CA3410005,DISTRICT 09 - SACRAMENTO,RANCHO MURIETA COMMUNITY SERVI,0,0,0,0,0,0,0,2726,5744,1,0,0,0,1857,1,0,0,0,0,0,0,0,0,1.333333333,38.486885,-121.083087,SACRAMENTO,No,0,1,SanJoaquinRiver,1804,18040013,HUC8_CentralValley,HUC8_CentralValley,FR,FR-999,0-000,0-000,0-000,0-000,0-000,0,279.5714286,411.5669724,1,0.424,0.576,Expected,0.463,0.537,Expected,0.448,0.552,Expected,0.458,0.542,Expected,0.482,0.518,Expected
1540,CA3410006,DISTRICT 09 - SACRAMENTO,CITRUS HEIGHTS WATER DISTRICT,0,0,0,0,0,0,0,19940,65911,0,0,0,0,-1,0,0,0,0,2,1,1,0,4,0,38.6790805,-121.2899501,SACRAMENTO,No,6,0,SacramentoRiver,1802,18020111,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,1,279.5714286,1330.102015,1,0.882,0.118,NotExpected,0.887,0.113,NotExpected,0.918,0.082,NotExpected,0.919,0.081,NotExpected,0.929,0.071,NotExpected
1541,CA3410007,DISTRICT 09 - SACRAMENTO,DEL PASO MANOR COUNTY WATER DI,0,0,0,0,0,0,0,1796,4520,0,0,0,0,2150,0,0,0,0,0,0,0,0,0,0.333333333,38.6050745,-121.3818448,SACRAMENTO,No,8,0,SacramentoRiver,1802,18020111,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,0,279.5714286,1330.102015,1,0.875,0.125,NotExpected,0.903,0.097,NotExpected,0.935,0.065,NotExpected,0.911,0.089,NotExpected,0.922,0.078,NotExpected
1542,CA3410008,DISTRICT 09 - SACRAMENTO,ELK GROVE WATER SERVICE,0,0,0,0,0,0,0,12882,42540,0,0,0,0,-1,0,0,0,0,0,1,0,0,1,0,38.409447,-121.35528,SACRAMENTO,No,8,0,SacSJ,1802,18020163,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,1,279.5714286,7043.511667,1,0.774,0.226,NotExpected,0.796,0.204,NotExpected,0.816,0.184,NotExpected,0.768,0.232,NotExpected,0.762,0.238,NotExpected
1543,CA3410009,DISTRICT 09 - SACRAMENTO,FAIR OAKS WATER DISTRICT,0,0,0,0,0,0,0,14293,35114,0,0,0,0,-1,0,0,0,0,2,1,1,0,4,0,38.6432393,-121.2691256,SACRAMENTO,No,5,0,SacramentoRiver,1802,18020111,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,1,279.5714286,1330.102015,1,0.885,0.115,NotExpected,0.89,0.11,NotExpected,0.92,0.08,NotExpected,0.918,0.082,NotExpected,0.928,0.072,NotExpected
1544,CA3410010,DISTRICT 09 - SACRAMENTO,CALAM - SUBURBAN ROSEMONT,0,0,0,0,0,0,0,16238,53563,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,38.6527955,-121.4255067,SACRAMENTO,No,23,0,SacramentoRiver,1802,18020111,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,1,279.5714286,1330.102015,1,0.933,0.067,NotExpected,0.935,0.065,NotExpected,0.964,0.036,NotExpected,0.958,0.042,NotExpected,0.961,0.039,NotExpected
1545,CA3410011,DISTRICT 09 - SACRAMENTO,"GALT, CITY OF",0,0,0,0,0,0,0,7471,26536,0,0,0,0,-1,0,0,0,2,0,0,0,0,2,0.333333333,38.2648685,-121.3055039,SACRAMENTO,No,7,0,SanJoaquinRiver,1804,18040013,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-022,0-000,0-000,0,279.5714286,411.5669724,1,0.771,0.229,NotExpected,0.756,0.244,NotExpected,0.773,0.227,NotExpected,0.759,0.241,NotExpected,0.763,0.237,NotExpected
1546,CA3410012,DISTRICT 09 - SACRAMENTO,CALAM - ISLETON,0,0,0,0,0,0,0,480,1581,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0.333333333,38.6527955,-121.4255067,SACRAMENTO,No,4,0,SacSJ,1802,18020111,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,0,279.5714286,1330.102015,1,0.852,0.148,NotExpected,0.874,0.126,NotExpected,0.911,0.089,NotExpected,0.897,0.103,NotExpected,0.923,0.077,NotExpected
1547,CA3410013,DISTRICT 09 - SACRAMENTO,CALAM - LINCOLN OAKS,0,0,0,0,0,0,0,14390,47487,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,38.6527955,-121.4255067,SACRAMENTO,No,22,0,SacramentoRiver,1802,18020111,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,1,279.5714286,1330.102015,1,0.933,0.067,NotExpected,0.936,0.064,NotExpected,0.965,0.035,NotExpected,0.959,0.041,NotExpected,0.959,0.041,NotExpected
1548,CA3410014,DISTRICT 09 - SACRAMENTO,"FOLSOM, CITY OF - MAIN",0,0,0,0,0,0,0,21424,68122,1,0,0,0,-1,1,0,0,0,2,0,0,0,2,1.333333333,38.6820869,-121.1656584,SACRAMENTO,No,0,1,SacramentoRiver,1802,18020111,HUC8_CentralValley,HUC8_CentralValley,FR,FR-999,0-000,0-000,0-000,0-000,0-000,1,279.5714286,1330.102015,1,0.619,0.381,NotExpected,0.673,0.327,NotExpected,0.671,0.329,NotExpected,0.757,0.243,NotExpected,0.772,0.228,NotExpected
1549,CA3410015,DISTRICT 09 - SACRAMENTO,GOLDEN STATE WATER CO. - CORDOVA,0,0,0,0,0,0,0,14798,44928,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,38.5919187,-121.2758444,SACRAMENTO,No,9,1,SacramentoRiver,1802,18020111,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,1,279.5714286,1330.102015,1,0.683,0.317,NotExpected,0.737,0.263,NotExpected,0.727,0.273,NotExpected,0.787,0.213,NotExpected,0.808,0.192,NotExpected
1550,CA3410016,DISTRICT 09 - SACRAMENTO,ORANGE VALE WATER COMPANY,0,0,0,0,0,0,0,5684,18005,0,0,0,0,-1,0,0,0,0,2,0,2,2,6,0,38.6865117,-121.2195748,SACRAMENTO,No,1,0,SacramentoRiver,1802,18020111,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,1,279.5714286,1330.102015,1,0.872,0.128,NotExpected,0.888,0.112,NotExpected,0.918,0.082,NotExpected,0.921,0.079,NotExpected,0.915,0.085,NotExpected
1551,CA3410017,DISTRICT 09 - SACRAMENTO,CALAM - PARKWAY,0,0,0,0,0,0,0,14779,48738,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,38.6527955,-121.4255067,SACRAMENTO,No,19,0,SacramentoRiver,1802,18020111,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,1,279.5714286,1330.102015,2,0.932,0.068,NotExpected,0.938,0.062,NotExpected,0.963,0.037,NotExpected,0.957,0.043,NotExpected,0.959,0.041,NotExpected
1552,CA3410018,DISTRICT 09 - SACRAMENTO,RIO LINDA/ELVERTA COMMUNITY WATER DIST,0,0,0,0,0,0,0,4621,14381,0,0,0,0,-1,0,0,0,0,0,1,0,0,1,0,38.6890503,-121.4487871,SACRAMENTO,No,12,0,SacramentoRiver,1802,18020111,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,1,279.5714286,1330.102015,1,0.917,0.083,NotExpected,0.927,0.073,NotExpected,0.951,0.049,NotExpected,0.948,0.052,NotExpected,0.947,0.053,NotExpected
1553,CA3410020,DISTRICT 09 - SACRAMENTO,CITY OF SACRAMENTO MAIN,0,0,0,1,0,0,1,142794,510931,0,0,0,0,-1,1,0,0,0,2,1,2,0,5,-1,38.5225489,-121.5065773,SACRAMENTO,No,28,2,SacramentoRiver,1802,18020163,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,1,279.5714286,7043.511667,1,0,1,Expected,0,1,Expected,0,1,Expected,0,1,Expected,0,1,Expected
1554,CA3410021,DISTRICT 09 - SACRAMENTO,SAN JUAN WATER DISTRICT,0,0,0,0,0,0,0,10672,29641,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,-1,38.7152419,-121.1732544,SACRAMENTO,No,0,1,SacramentoRiver,1802,18020111,HUC8_CentralValley,HUC8_CentralValley,FR,FR-999,0-000,0-000,0-000,0-000,0-000,0,279.5714286,1330.102015,1,0.653,0.347,NotExpected,0.713,0.287,NotExpected,0.686,0.314,NotExpected,0.776,0.224,NotExpected,0.794,0.206,NotExpected
1555,CA3410022,DISTRICT 09 - SACRAMENTO,OLYMPIA MOBILODGE,0,0,0,0,0,0,0,200,450,0.5,0,0,0,1346,0,0,0,0,0,2,0,0,2,0.333333333,38.4835895,-121.4168898,SACRAMENTO,No,2,0,SacramentoRiver,1802,18020163,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-021,0-000,0-000,0,279.5714286,7043.511667,1,0.569,0.431,NotExpected,0.591,0.409,NotExpected,0.605,0.395,NotExpected,0.599,0.401,NotExpected,0.592,0.408,NotExpected
