,CWSID,RegulatingAgency,WaterSystemName,Score_DroughtWatchStatus,WaterOutageDroughtViolation,BottledHauledWaterOrZeroSource,CurtailmentExemptionPetition,Score_1704,FundedProject,DroughtExperienced,ServiceConnections,Population,Score_SourceNumber,Score_SCV,Score_SCM,Score_CriticallyOverdraftedGroundwaterBasin,CDAG_rank,Curtailment,Score_1702,Score_1705,Score_1706,Score_1812,Score_1813,Score_1814,Score_1815,EAR2020DroughtRiskScore,SAFER_AccessibilityScore,PWPhysicalAddressLat,PWPhysicalAddressLong,CentralValleyCounties,NonCentralValleyCounties,ActiveGWSource,ActiveSWSource,CurtailedWatershed,HUC4,HUC8_CentralValley,HUC8_Coast,HUC8_Other,Basin_Number_part1,FracturedRock,Basin12,Basin34,Basin5,Basin6,Basin789,Intertie,DSCI2WYAvg,TNCFlow2WYAvg,ind,NotExpected,Expected,pred2,NotExpected,Expected,pred2,NotExpected,Expected,pred2,NotExpected,Expected,pred2,NotExpected,Expected,pred2
21,CA0300011,DISTRICT 10 - STOCKTON,SUTTER PINES MHP,0,0,0,0,0,0,0,20,40,1,0,0,0,830,0,0,0,0,0,0,0,0,0,1.333333333,38.3488023,-120.7741018,No,AMADOR,0,1,SanJoaquinRiver,1804,18040012,HUC8_CentralValley,HUC8_CentralValley,FR,FR-999,0-000,0-000,0-000,0-000,0-000,0,221.5047619,6935.890773,1,0.747,0.253,NotExpected,0.783,0.217,NotExpected,0.776,0.224,NotExpected,0.801,0.199,NotExpected,0.797,0.203,NotExpected
22,CA0300016,DISTRICT 10 - STOCKTON,VOLCANO COMMUNITY SERVICE DIST,0,0,0,0,0,0,0,80,160,0,0,0,0,1222,0,0,0,0,0,0,0,0,0,0.333333333,38.4422853,-120.6313283,No,AMADOR,2,1,SanJoaquinRiver,1804,18040012,HUC8_CentralValley,HUC8_CentralValley,FR,FR-999,0-000,0-000,0-000,0-000,0-000,0,221.5047619,6935.890773,1,0.749,0.251,NotExpected,0.775,0.225,NotExpected,0.759,0.241,NotExpected,0.757,0.243,NotExpected,0.797,0.203,NotExpected
23,CA0300019,DISTRICT 10 - STOCKTON,FIDDLETOWN COMMUNITY SERVICE,0,0,0,0,0,0,0,66,100,1,0,0,0,818,0,0,0,0,0,0,0,0,0,1.333333333,38.5039105,-120.7565689,No,AMADOR,1,0,SanJoaquinRiver,1804,18040012,HUC8_CentralValley,HUC8_CentralValley,FR,FR-999,0-000,0-000,0-000,0-000,0-000,0,221.5047619,6935.890773,1,0.791,0.209,NotExpected,0.841,0.159,NotExpected,0.82,0.18,NotExpected,0.842,0.158,NotExpected,0.831,0.169,NotExpected
24,CA0300024,DISTRICT 10 - STOCKTON,TABEAU MOBILE HOME PARK,0,0,0,0,0,0,0,22,62,1,0,0,0,283,0,0,0,0,0,0,0,0,0,1.5,38.4096384,-120.6314948,No,AMADOR,1,0,SanJoaquinRiver,1804,18040012,HUC8_CentralValley,HUC8_CentralValley,FR,FR-999,0-000,0-000,0-000,0-000,0-000,0,221.5047619,6935.890773,1,0.776,0.224,NotExpected,0.817,0.183,NotExpected,0.794,0.206,NotExpected,0.803,0.197,NotExpected,0.806,0.194,NotExpected
25,CA0300037,DISTRICT 10 - STOCKTON,JACKSON VALLEY IRRIGATION DISTRICT,0,0,0,1,0,0,1,331,3553,0.5,0,0,0,1276,1,0,0,0,0,0,0,0,0,0.333333333,38.3051021,-120.8941404,No,AMADOR,0,2,SanJoaquinRiver,1804,18040012,HUC8_CentralValley,HUC8_CentralValley,FR,FR-999,0-000,0-000,0-000,0-000,0-000,0,221.5047619,6935.890773,2,0.577,0.423,NotExpected,0.618,0.382,NotExpected,0.622,0.378,NotExpected,0.646,0.354,NotExpected,0.694,0.306,NotExpected
26,CA0300053,DISTRICT 10 - STOCKTON,RANCHO DEL ORO MHP,0,0,0,0,0,0,0,24,44,1,0,0,0,315,0,0,0,0,0,0,1,0,1,1.5,38.4815545,-120.8591019,No,AMADOR,1,0,SanJoaquinRiver,1804,18040013,HUC8_CentralValley,HUC8_CentralValley,FR,FR-999,0-000,0-000,0-000,0-000,0-000,0,221.5047619,411.5669724,2,0.807,0.193,NotExpected,0.852,0.148,NotExpected,0.838,0.162,NotExpected,0.844,0.156,NotExpected,0.855,0.145,NotExpected
27,CA0300062,DISTRICT 10 - STOCKTON,HOPE FOUNDATION/MORIAH HEIGHTS,0,0,0,0,0,0,0,21,299,1,0,0,0,537,0,0,0,0,0,1,0,0,1,1.5,38.4818531,-120.844659,No,AMADOR,1,0,SanJoaquinRiver,1804,18040013,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-022,0-000,0-000,0,221.5047619,411.5669724,2,0.743,0.257,NotExpected,0.786,0.214,NotExpected,0.792,0.208,NotExpected,0.803,0.197,NotExpected,0.833,0.167,NotExpected
28,CA0300078,DISTRICT 10 - STOCKTON,IONE BAND OF MIWOK INDIANS,0,0,0,0,0,0,0,10,40,1,0,0,0,151,0,0,0,0,2,0,1,0,3,2,38.308096,-120.9697699,No,AMADOR,1,0,SanJoaquinRiver,1804,18040012,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-022,0-000,0-000,0,221.5047619,6935.890773,1,0.776,0.224,NotExpected,0.83,0.17,NotExpected,0.846,0.154,NotExpected,0.835,0.165,NotExpected,0.854,0.146,NotExpected
29,CA0310001,DISTRICT 10 - STOCKTON,CITY OF JACKSON,0,0,0,0,0,0,0,2185,4686,0,0,0,0,1773,0,0,0,0,0,0,1,0,1,1,38.347489,-120.7730223,No,AMADOR,0,0,SanJoaquinRiver,1804,18040012,HUC8_CentralValley,HUC8_CentralValley,FR,FR-999,0-000,0-000,0-000,0-000,0-000,1,221.5047619,6935.890773,2,0.773,0.227,NotExpected,0.808,0.192,NotExpected,0.811,0.189,NotExpected,0.808,0.192,NotExpected,0.833,0.167,NotExpected
30,CA0310002,DISTRICT 10 - STOCKTON,"AWA, IONE",0,0,0,0,0,0,0,2106,6170,1,0,0,0,-1,0,0,0,0,0,0,2,0,2,1.333333333,38.3828639,-120.7877453,No,AMADOR,0,1,SanJoaquinRiver,1804,18040012,HUC8_CentralValley,HUC8_CentralValley,5,0-000,0-000,0-000,5-022,0-000,0-000,0,221.5047619,6935.890773,2,0.63,0.37,NotExpected,0.674,0.326,NotExpected,0.676,0.324,NotExpected,0.696,0.304,NotExpected,0.726,0.274,NotExpected
