PWSID,Groundwater,Surface Water,Interties
CA0707639,1,0,0
CA0707643,1,0,0
CA0707644,1,0,0
CA0707645,1,0,0
CA0707800,1,0,0
CA0707900,1,0,0
CA0707901,0,2,1
CA0707915,1,0,0
CA0708000,1,0,0
CA0710007,4,1,1
CA0710001,0,4,2
CA0710003,0,13,3
CA0710006,0,3,3
CA0710008,2,1,1
CA0710009,6,0,0
CA0710010,0,2,2
CA0710011,0,1,1
CA0710300,10,0,0
CA0710800,0,1,0
CA0710995,1,0,0
CA0711146,1,0,0
CA0800526,3,0,0
CA0800532,1,0,0
CA0800542,2,0,0
CA0800548,3,0,0
CA0800552,2,0,0
CA0800555,0,1,0
CA0800556,1,0,0
CA0800557,1,0,0
CA0800603,1,0,0
CA0800605,1,0,0
CA0800608,1,0,0
CA0800613,1,0,0
CA0800615,1,0,0
CA0800622,1,0,0
CA0800627,1,0,0
CA0800632,1,0,0
CA0800635,1,0,0
CA0800647,1,0,0
CA0800649,1,0,0
CA1000059,4,0,1
CA0800661,1,0,0
CA0800700,2,0,0
CA0800800,1,0,0
CA0800825,3,0,0
CA0800850,1,0,0
CA0800861,1,0,0
CA0810001,1,0,0
CA0810002,4,0,0
CA0810003,1,0,1
CA0810300,0,1,0
CA0810303,1,0,0
CA0810500,1,0,0
CA0810800,1,1,0
CA0900100,1,0,0
CA0900102,1,0,0
CA0900103,1,0,0
CA0900104,1,0,0
CA0900105,2,0,0
CA0900106,1,0,0
CA0900107,1,0,0
CA0900109,1,0,0
CA0900111,2,0,0
CA0900112,3,0,0
CA0900113,3,0,0
CA0900116,3,0,0
CA0900118,1,0,0
CA0900120,0,1,0
CA0900121,1,0,0
CA0900122,1,0,0
CA0900204,2,0,0
CA0900205,2,0,0
CA0900206,1,0,0
CA0900208,1,0,0
CA0900210,3,0,0
CA0900212,1,0,0
CA0900213,3,0,0
CA0900214,1,0,0
CA0900216,1,0,0
CA0910003,0,10,10
CA0900219,2,0,0
CA0900300,1,1,0
CA0900301,1,0,0
CA0900303,1,0,0
CA0900304,1,0,0
CA0900306,2,0,0
CA0900307,1,0,0
CA0900308,1,0,0
CA0900309,3,0,0
CA0900311,1,0,0
CA0900313,0,1,0
CA0900314,1,0,0
CA0900316,1,0,0
CA0900317,1,0,0
CA0900319,1,0,0
CA0900401,1,0,0
CA0900404,1,0,0
CA0900410,1,0,0
CA0900411,1,0,0
CA0900417,1,0,0
CA0900419,2,0,0
CA0900420,1,0,0
CA0900422,1,0,0
CA0900423,1,0,0
CA0900502,1,0,0
CA0900505,1,0,0
CA0900506,2,0,0
CA1000004,2,0,1
CA0900507,0,1,0
CA0900511,1,0,0
CA0900515,1,0,0
CA0900516,1,1,0
CA0900523,1,0,0
CA0900525,1,0,0
CA0900529,1,0,0
CA0900535,1,0,0
CA0900536,2,0,0
CA0900549,1,0,0
CA0900551,1,0,0
CA0900553,1,0,0
CA0900554,1,0,0
CA0900557,1,0,0
CA0900559,1,0,0
CA0900560,1,0,0
CA0900562,1,0,0
CA0900564,1,0,0
CA0900565,1,0,0
CA0900566,1,0,0
CA0900576,1,0,0
CA0900582,1,0,0
CA0900585,1,0,0
CA0900587,1,0,0
CA0900588,1,0,0
CA0900591,1,0,0
CA0900592,1,0,0
CA0900595,1,0,0
CA0900603,1,0,0
CA0900615,1,0,0
CA0900618,1,0,0
CA0900623,1,0,0
CA0900624,1,0,0
CA0900629,1,0,0
CA0900631,1,0,0
CA0900641,0,1,0
CA0900643,1,0,0
CA0900649,1,0,0
CA0900650,1,1,0
CA0900651,1,0,0
CA0900652,1,0,0
CA0900654,1,0,0
CA0900656,1,0,0
CA0900658,1,0,0
CA0900659,2,0,0
CA0900660,1,0,0
CA0900663,1,0,0
CA0900664,1,0,0
CA0900665,1,0,0
CA0900667,1,0,0
CA0900669,1,0,0
CA0900672,1,0,0
CA0901217,3,0,0
CA0901219,1,0,0
CA0901222,1,0,0
CA0901223,1,0,0
CA0901228,1,0,0
CA0901229,1,0,0
CA0901230,1,0,0
CA0901232,1,0,0
CA0901239,1,0,0
CA0901243,1,0,0
CA0901244,1,0,0
CA0901246,1,0,0
CA0901247,2,0,0
CA0901248,1,0,0
CA0901249,1,0,0
CA0901250,1,0,0
CA0901260,0,1,0
CA0901281,0,1,0
CA0910001,0,3,0
CA0910002,14,0,0
CA0910006,0,1,0
CA0910012,3,0,0
CA0910013,0,2,0
CA0910015,5,0,2
CA0910017,0,1,0
CA0910018,0,1,0
CA0910024,1,0,0
CA0910300,1,0,0
CA0910301,0,1,0
CA0910302,0,1,0
CA0910303,0,1,0
CA0910305,0,1,0
CA1000003,0,1,0
CA1000007,1,0,0
CA1000010,0,1,0
CA1000012,2,0,0
CA1000013,1,0,0
CA1000014,1,0,0
CA1000015,1,0,0
CA1000016,2,0,0
CA1000017,3,1,0
CA1000018,2,0,0
CA1000019,0,1,0
CA1000020,2,0,0
CA1000021,2,0,0
CA1000061,4,0,1
CA1000023,1,0,0
