ServiceConnections,Population,Score_SourceNumber,Score_SourceCapacityViolations,Score_SCM,Score_CriticallyOverdraftedGroundwaterBasin,CDAG_rank,Curtailment,Score_1702,Score_1705,Score_1706,Score_1812,Score_1813,Score_1814,Score_1815,EAR2020DroughtRiskScore,SAFER_AccessibilityScore,Lat,Long,County,DSCI2WYAvg,ActiveGWSource,ActiveSWSource,CurtailedWatershed,HUC4,HUC8,Basin_Number_part1,FracturedRock,Basin12,Basin34,Basin5,Basin6,Basin789,Intertie,TNCFlow2WYAvg,DroughtExperienced
70,100,0,No,No,No,725,No,0,0,0,0,0,0,0,0,0.333333333,33.1467885,-117.0087877,SAN DIEGO,73.45714286,3,0,NotInCurtailedWatershed,18-07,18-070304,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,36.67104046,0
64,350,0.5,No,No,No,1110,No,0,0,0,0,0,0,0,0,0.333333333,33.090285,-117.0499859,SAN DIEGO,73.45714286,2,0,NotInCurtailedWatershed,18-07,18-070304,9,0-000,0-000,0-000,0-000,0-000,9-010,No,36.67104046,0
75,350,1,No,No,No,357,No,0,0,0,0,0,0,0,0,1.5,33.0786552,-116.6019637,SAN DIEGO,73.45714286,1,0,NotInCurtailedWatershed,18-07,18-070304,7,0-000,0-000,0-000,0-000,0-000,7-059,No,36.67104046,0
45,120,1,No,No,No,1,No,0,0,0,1,1,0,0,2,2,33.3641187,-116.7559294,SAN DIEGO,73.45714286,1,0,NotInCurtailedWatershed,18-07,18-070302,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,40.30027419,0
106,350,0,No,No,No,2311,No,0,0,0,0,0,0,0,0,0,33.2870226,-116.9578075,SAN DIEGO,73.45714286,2,0,NotInCurtailedWatershed,18-07,18-070303,9,0-000,0-000,0-000,0-000,0-000,9-007,Yes,69.64396161,0
89,25,0,No,No,No,1461,No,0,0,0,0,0,1,0,1,0.333333333,33.0127864,-116.6133711,SAN DIEGO,73.45714286,3,0,NotInCurtailedWatershed,18-07,18-070304,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,36.67104046,0
20,28,0.5,No,No,No,161,No,0,0,0,0,1,0,0,1,1,33.0542096,-116.6028844,SAN DIEGO,73.45714286,2,0,NotInCurtailedWatershed,18-07,18-070304,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,36.67104046,0
145,200,0,No,No,No,1816,No,0,0,0,0,0,0,0,0,0.333333333,32.6047822,-116.6130731,SAN DIEGO,73.45714286,3,0,NotInCurtailedWatershed,18-07,18-070305,FR-9,FR-999,0-000,0-000,0-000,0-000,9-029,No,31.78235015,0
73,120,0,No,No,No,1429,No,0,0,0,0,0,0,0,0,0.333333333,36.778261,-119.4179324,SAN DIEGO,73.45714286,5,0,NotInCurtailedWatershed,18-03,18-030012,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,635.6508214,0
57,350,1,No,No,No,183,No,0,0,0,0,0,0,0,0,2,32.8429145,-116.5315396,SAN DIEGO,73.45714286,1,0,NotInCurtailedWatershed,18-07,18-070305,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,31.78235015,0
92,200,0.5,No,No,No,427,No,0,0,0,0,0,0,0,0,0.5,32.8493753,-116.5572471,SAN DIEGO,73.45714286,2,0,NotInCurtailedWatershed,18-07,18-070304,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,36.67104046,0
68,125,1,No,No,No,782,No,0,0,0,0,0,0,0,0,1.333333333,32.8350521,-116.7664109,SAN DIEGO,73.45714286,1,0,NotInCurtailedWatershed,18-07,18-070304,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,36.67104046,0
32,100,0.5,No,No,No,1506,No,0,0,0,0,0,0,0,0,0.333333333,32.8350521,-116.7664109,SAN DIEGO,73.45714286,2,0,NotInCurtailedWatershed,18-07,18-070304,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,36.67104046,0
27,50,0.5,No,No,No,203,No,0,0,0,0,0,0,0,0,1,33.3211759,-116.879633,SAN DIEGO,73.45714286,2,0,NotInCurtailedWatershed,18-07,18-070303,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,69.64396161,0
307,443,0,No,No,No,855,No,0,0,0,0,0,0,0,0,0.333333333,33.3457314,-116.7289424,SAN DIEGO,73.45714286,4,0,NotInCurtailedWatershed,18-07,18-070303,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,69.64396161,0
120,350,0.5,No,No,No,1187,No,0,0,0,0,0,0,0,0,0.333333333,33.3033679,-116.9814167,SAN DIEGO,73.45714286,2,0,NotInCurtailedWatershed,18-07,18-070303,9,0-000,0-000,0-000,0-000,0-000,9-007,No,69.64396161,0
21299,95000,0,No,No,No,-1,No,0,0,0,0,0,0,0,0,0,32.5835202,-117.1114462,SAN DIEGO,73.45714286,0,0,NotInCurtailedWatershed,18-07,18-070304,9,0-000,0-000,0-000,0-000,0-000,9-033,Yes,36.67104046,0
21927,105513,0,No,No,No,-1,No,0,0,0,0,0,0,0,0,-1,33.1365901,-117.1814351,SAN DIEGO,73.45714286,0,0,NotInCurtailedWatershed,18-07,18-070303,9,0-000,0-000,0-000,0-000,0-000,9-032,Yes,69.64396161,0
1866,4268,0,No,No,No,2349,No,0,0,0,0,0,0,1,1,0,32.9712087,-117.2655793,SAN DIEGO,73.45714286,0,0,NotInCurtailedWatershed,18-07,18-070304,9,0-000,0-000,0-000,0-000,0-000,9-012,Yes,36.67104046,0
28218,91697,0,No,No,No,-1,No,0,0,0,0,0,0,0,0,0,33.132334,-117.2684842,SAN DIEGO,73.45714286,0,0,NotInCurtailedWatershed,18-07,18-070303,FR,FR-999,0-000,0-000,0-000,0-000,0-000,Yes,69.64396161,0
26766,137941,0,No,No,No,-1,No,0,0,0,2,0,2,1,5,-1,33.1581752,-117.0318592,SAN DIEGO,73.45714286,0,2,NotInCurtailedWatershed,18-07,18-070303,FR,FR-999,0-000,0-000,0-000,0-000,0-000,Yes,69.64396161,0
9132,35237,0,No,No,No,-1,No,0,0,0,0,1,1,1,3,0,33.3876137,-117.2411101,SAN DIEGO,73.45714286,1,0,NotInCurtailedWatershed,18-07,18-070302,FR,FR-999,0-000,0-000,0-000,0-000,0-000,Yes,40.30027419,0
317,870,0.5,No,No,No,705,No,0,0,0,0,0,0,0,0,0.333333333,32.8535218,-116.6156744,SAN DIEGO,73.45714286,2,0,NotInCurtailedWatershed,18-07,18-070304,FR,FR-999,0-000,0-000,0-000,0-000,0-000,No,36.67104046,0
56425,277294,0,No,No,No,-1,No,0,0,0,1,0,2,2,5,-1,32.7624023,-117.02879,SAN DIEGO,73.45714286,1,2,NotInCurtailedWatershed,18-07,18-070304,FR-9,FR-999,0-000,0-000,0-000,0-000,9-015,Yes,36.67104046,0
248,561,0,No,No,No,1509,No,0,0,0,0,0,0,0,0,0.333333333,32.6195849,-116.191669,SAN DIEGO,73.45714286,3,0,NotInCurtailedWatershed,181-0,18-100202,FR-7,FR-999,0-000,0-000,0-000,0-000,7-047,No,24.64210503,0
379,899,0,No,No,No,2079,No,0,0,0,2,2,0,0,4,0,33.3141785,-117.0010851,SAN DIEGO,73.45714286,6,0,NotInCurtailedWatershed,18-07,18-070303,9,0-000,0-000,0-000,0-000,0-000,9-007,Yes,69.64396161,0
6955,35500,0,No,No,No,-1,No,0,0,0,0,0,0,0,0,0,32.8656483,-116.9205247,SAN DIEGO,73.45714286,3,0,NotInCurtailedWatershed,18-07,18-070304,9,0-000,0-000,0-000,0-000,0-000,9-015,Yes,36.67104046,0
44372,178021,0,No,No,No,-1,No,0,0,0,1,1,0,1,3,-1,33.1979475,-117.3795323,SAN DIEGO,73.45714286,8,0,NotInCurtailedWatershed,18-07,18-070303,9,0-000,0-000,0-000,0-000,0-000,9-007,Yes,69.64396161,0
